MaTin,ThanhPho,QuanHuyen,PhuongXa,DuAn,LoaiHinh,TinhTrang,DienTich_m2,SoPhongNgu,SoWC,HuongBanCong,Tang,NamBanGiao,PhapLy,NoiThat,GiaTyVND,GiaTrieu_m2,PhiQuanLyNghin_m2,ChoDoXe,GanMetro,HoBoi,PhongGym,NoiBat,NgayDangTin,GhiChuNguon
HCM0307,TP.HCM,Phú Nhuận,Phường 15,Newton Residence,Chung cư,Cần bán gấp,82.3,3,2,Bắc,40,2017,Sổ hồng lâu dài,Cơ bản,6.8,82.7,10.0,Ô tô + xe máy,Không,Có,Có,Gần công viên,2026-01-27,Dữ liệu tổng hợp mô phỏng
HCM0308,TP.HCM,Quận 7,Tân Quy,The Peak Midtown,Chung cư,Chuyển nhượng,78.4,2,2,Tây Nam,32,2021,Sổ hồng lâu dài,Full nội thất,7.31,93.2,8.8,Xe máy,Có,Có,Không,Đầy đủ tiện ích,2026-01-01,Dữ liệu tổng hợp mô phỏng
HCM0309,TP.HCM,Quận 1,Nguyễn Thái Bình,Madison,Chung cư,Đang bán,59.6,2,2,Bắc,31,2012,Sổ hồng 50 năm,Cơ bản,9.23,155.0,12.4,Xe máy,Có,Có,Có,Tầng trung đẹp,2026-02-12,Dữ liệu tổng hợp mô phỏng
HCM0310,TP.HCM,Thủ Đức,Linh Đông,Moonlight Avenue,Chung cư,Chuyển nhượng,43.2,1,1,Nam,33,2014,Sổ hồng lâu dài,Cơ bản,3.51,81.4,9.1,Ô tô + xe máy,Có,Không,Có,Gần trung tâm thương mại,2026-01-08,Dữ liệu tổng hợp mô phỏng
HCM0311,TP.HCM,Bình Tân,An Lạc,Saigon Royal Heights,Chung cư,Đang bán,84.9,3,2,Nam,33,2023,Đang chờ sổ,Cơ bản,4.05,47.7,17.2,Ô tô + xe máy,Không,Không,Không,Ban công rộng,2026-01-28,Dữ liệu tổng hợp mô phỏng
HCM0312,TP.HCM,Quận 4,Phường 1,Saigon Royal Grand,Chung cư,Chuyển nhượng,74.5,2,2,Đông,15,2023,Sổ hồng lâu dài,Full nội thất,5.74,77.1,21.6,Ô tô + xe máy,Không,Không,Không,Gần trường quốc tế,2025-10-12,Dữ liệu tổng hợp mô phỏng
HCM0313,TP.HCM,Phú Nhuận,Phường 2,Newton Residence,Chung cư,Đang bán,100.8,3,2,Bắc,9,2016,Sổ hồng lâu dài,Nội thất cao cấp,8.02,79.5,22.2,Ô tô riêng,Không,Không,Có,Căn góc,2025-11-21,Dữ liệu tổng hợp mô phỏng
HCM0314,TP.HCM,Thủ Đức,Trường Thọ,Vinhomes Grand Park,Chung cư,Đang bán,73.6,2,2,Đông,31,2016,Đang chờ sổ,Full nội thất,5.5,74.8,14.1,Ô tô + xe máy,Có,Có,Có,Tầng trung đẹp,2026-03-06,Dữ liệu tổng hợp mô phỏng
HCM0315,TP.HCM,Gò Vấp,Phường 7,Jamona Vista,Chung cư,Đang bán,144.6,4,3,Nam,5,2017,HĐMB,Full nội thất,8.34,57.7,18.7,Ô tô riêng,Không,Có,Có,Gần trung tâm thương mại,2025-12-25,Dữ liệu tổng hợp mô phỏng
HCM0316,TP.HCM,Quận 2,An Khánh,Estella Heights,Chung cư,Chuyển nhượng,66.2,2,2,Tây Nam,6,2018,HĐMB,Cơ bản,7.3,110.4,10.4,Ô tô + xe máy,Không,Có,Có,Đầy đủ tiện ích,2026-01-03,Dữ liệu tổng hợp mô phỏng
HCM0317,TP.HCM,Bình Thạnh,Phường 13,Richmond City,Chung cư,Đang bán,53.8,1,1,Đông,19,2014,Sổ hồng lâu dài,Nhà thô,4.73,87.9,14.1,Ô tô riêng,Không,Không,Có,Ban công rộng,2026-02-12,Dữ liệu tổng hợp mô phỏng
HCM0318,TP.HCM,Bình Thạnh,Phường 25,Masteri Riverside,Chung cư,Đang bán,96.6,3,3,Nam,27,2024,Sổ hồng lâu dài,Cơ bản,9.76,101.0,18.9,Ô tô + xe máy,Không,Có,Không,Đầy đủ tiện ích,2026-02-27,Dữ liệu tổng hợp mô phỏng
HCM0319,TP.HCM,Quận 7,Tân Quy,M-One Nam Sài Gòn,Chung cư,Chuyển nhượng,81.4,2,2,Tây Nam,33,2016,Sổ hồng lâu dài,Full nội thất,7.31,89.8,11.2,Xe máy,Có,Có,Không,Gần tuyến metro,2026-02-04,Dữ liệu tổng hợp mô phỏng
HCM0320,TP.HCM,Bình Tân,Bình Trị Đông B,Vinhomes City,Chung cư,Cần bán gấp,124.1,3,2,Tây Bắc,9,2019,Sổ hồng lâu dài,Cơ bản,6.16,49.7,18.1,Ô tô + xe máy,Có,Có,Không,Ban công rộng,2025-12-17,Dữ liệu tổng hợp mô phỏng
HCM0321,TP.HCM,Quận 2,Thủ Thiêm,Lumiere Riverside,Chung cư,Đang bán,118.4,3,3,Đông Bắc,7,2014,Sổ hồng lâu dài,Full nội thất,17.8,150.4,21.7,Ô tô + xe máy,Có,Có,Có,Đầy đủ tiện ích,2025-11-24,Dữ liệu tổng hợp mô phỏng
HCM0322,TP.HCM,Bình Tân,An Lạc,Saigon Royal Vista,Chung cư,Chuyển nhượng,62.9,2,2,Đông Bắc,35,2014,HĐMB,Cơ bản,2.8,44.5,23.8,Ô tô + xe máy,Không,Không,Có,Đầy đủ tiện ích,2026-02-03,Dữ liệu tổng hợp mô phỏng
HCM0323,TP.HCM,Quận 7,Tân Quy,Sunshine Diamond River,Chung cư,Cần bán gấp,59.4,2,2,Bắc,15,2025,Sổ hồng lâu dài,Cơ bản,4.8,80.8,16.1,Ô tô riêng,Không,Không,Không,Tầng trung đẹp,2026-03-19,Dữ liệu tổng hợp mô phỏng
HCM0324,TP.HCM,Quận 4,Phường 6,Richmond Plaza,Chung cư,Chuyển nhượng,110.5,3,2,Đông,34,2014,Sổ hồng lâu dài,Full nội thất,10.46,94.6,9.3,Ô tô + xe máy,Không,Có,Có,View sông thoáng,2025-11-05,Dữ liệu tổng hợp mô phỏng
HCM0325,TP.HCM,Quận 4,Phường 2,Masteri Pearl,Chung cư,Đang bán,50.2,1,1,Tây Nam,17,2017,HĐMB,Full nội thất,4.46,88.9,23.3,Ô tô riêng,Có,Không,Không,View sông thoáng,2025-11-29,Dữ liệu tổng hợp mô phỏng
HCM0326,TP.HCM,Bình Thạnh,Phường 14,Wilton Tower,Chung cư,Chuyển nhượng,82.2,2,2,Tây,30,2017,Sổ hồng lâu dài,Full nội thất,8.57,104.4,9.0,Ô tô + xe máy,Không,Không,Có,Gần công viên,2025-11-06,Dữ liệu tổng hợp mô phỏng
HCM0327,TP.HCM,Quận 1,Đa Kao,Grand Marina Saigon,Chung cư,Chuyển nhượng,72.9,2,2,Đông Bắc,12,2020,Đang chờ sổ,Cơ bản,12.13,166.5,22.5,Xe máy,Có,Có,Có,Gần trường quốc tế,2025-10-15,Dữ liệu tổng hợp mô phỏng
HCM0328,TP.HCM,Bình Thạnh,Phường 25,Wilton Tower,Chung cư,Đang bán,84.7,3,3,Nam,11,2016,HĐMB,Cơ bản,7.02,82.9,21.5,Ô tô + xe máy,Có,Có,Không,Gần tuyến metro,2025-10-25,Dữ liệu tổng hợp mô phỏng
HCM0329,TP.HCM,Phú Nhuận,Phường 7,Sunwah Riverside,Chung cư,Đang bán,58.1,2,2,Tây,10,2022,Đang chờ sổ,Nội thất cao cấp,5.82,100.2,18.2,Không rõ,Không,Có,Có,Tầng trung đẹp,2025-11-18,Dữ liệu tổng hợp mô phỏng
HCM0330,TP.HCM,Quận 1,Bến Nghé,Vinhomes Golden River,Chung cư,Đang bán,42.6,1,1,Đông Nam,3,2012,Sổ hồng lâu dài,Full nội thất,6.6,154.8,23.1,Xe máy,Không,Không,Có,Đầy đủ tiện ích,2026-03-09,Dữ liệu tổng hợp mô phỏng
HCM0331,TP.HCM,Quận 2,Thủ Thiêm,Lumiere Riverside,Chung cư,Đang bán,93.0,3,2,Đông Bắc,38,2016,Sổ hồng lâu dài,Full nội thất,14.27,153.4,16.7,Ô tô + xe máy,Không,Không,Có,Gần trung tâm thương mại,2026-01-19,Dữ liệu tổng hợp mô phỏng
HCM0332,TP.HCM,Gò Vấp,Phường 1,Vinhomes Tower,Chung cư,Đang bán,42.0,1,1,Tây Nam,4,2019,Sổ hồng lâu dài,Nhà thô,2.59,61.8,25.0,Không rõ,Không,Có,Có,View nội khu yên tĩnh,2025-10-15,Dữ liệu tổng hợp mô phỏng
HCM0333,TP.HCM,Bình Tân,Bình Hưng Hòa B,Masteri Tower,Chung cư,Đang bán,57.8,2,2,Đông Nam,3,2026,Sổ hồng lâu dài,Full nội thất,3.46,59.9,23.1,Không rõ,Có,Có,Không,Gần tuyến metro,2026-01-17,Dữ liệu tổng hợp mô phỏng
HCM0334,TP.HCM,Tân Bình,Phường 15,Botanica Luxury,Chung cư,Chuyển nhượng,50.3,1,1,Tây,26,2024,Sổ hồng lâu dài,Cơ bản,3.52,69.9,18.2,Ô tô + xe máy,Có,Có,Có,Gần trung tâm thương mại,2025-11-22,Dữ liệu tổng hợp mô phỏng
HCM0335,TP.HCM,Bình Thạnh,Phường 13,Akari Premier,Chung cư,Chuyển nhượng,83.3,3,2,Nam,26,2024,Sổ hồng lâu dài,Cơ bản,7.98,95.8,12.3,Ô tô + xe máy,Có,Có,Có,Ban công rộng,2025-12-14,Dữ liệu tổng hợp mô phỏng
HCM0336,TP.HCM,Quận 7,Phú Mỹ,Scenic Valley,Chung cư,Đang bán,175.3,4,2,Tây,39,2017,Sổ hồng lâu dài,Nội thất cao cấp,18.65,106.4,10.1,Ô tô + xe máy,Có,Có,Có,Gần công viên,2026-01-24,Dữ liệu tổng hợp mô phỏng
HCM0337,TP.HCM,Quận 2,An Khánh,Masteri Premier,Chung cư,Cần bán gấp,39.8,1,1,Đông Bắc,40,2018,Sổ hồng lâu dài,Cơ bản,5.22,131.1,16.1,Ô tô riêng,Không,Không,Có,Ban công rộng,2026-01-31,Dữ liệu tổng hợp mô phỏng
HCM0338,TP.HCM,Thủ Đức,Hiệp Bình Chánh,Vinhomes Grand Park,Chung cư,Đang bán,80.1,2,2,Đông Bắc,23,2018,Đang chờ sổ,Full nội thất,6.24,78.0,23.2,Ô tô + xe máy,Không,Không,Có,View nội khu yên tĩnh,2026-03-24,Dữ liệu tổng hợp mô phỏng
HCM0339,TP.HCM,Bình Thạnh,Phường 22,Kingdom Riverside,Chung cư,Đang bán,61.3,2,2,Nam,11,2016,Sổ hồng lâu dài,Cơ bản,6.45,105.2,13.9,Xe máy,Không,Có,Có,Gần tuyến metro,2025-10-25,Dữ liệu tổng hợp mô phỏng
HCM0340,TP.HCM,Thủ Đức,Linh Đông,Opal Riverside,Chung cư,Cần bán gấp,59.1,2,2,Đông,29,2013,HĐMB,Cơ bản,4.98,84.2,16.7,Ô tô + xe máy,Có,Có,Có,View nội khu yên tĩnh,2026-03-17,Dữ liệu tổng hợp mô phỏng
HCM0341,TP.HCM,Thủ Đức,Linh Đông,Fiato Premier,Chung cư,Chuyển nhượng,84.9,3,2,Đông Bắc,23,2014,Sổ hồng lâu dài,Cơ bản,5.99,70.6,25.0,Ô tô riêng,Có,Không,Có,View nội khu yên tĩnh,2026-04-01,Dữ liệu tổng hợp mô phỏng
HCM0342,TP.HCM,Thủ Đức,An Khánh,Opal Riverside,Chung cư,Đang bán,145.6,4,2,Đông Nam,35,2021,Đang chờ sổ,Full nội thất,11.58,79.5,18.2,Ô tô + xe máy,Không,Có,Không,Đầy đủ tiện ích,2026-01-11,Dữ liệu tổng hợp mô phỏng
HCM0343,TP.HCM,Bình Tân,Bình Trị Đông B,Kingdom Vista,Chung cư,Đang bán,77.0,2,2,Tây Nam,42,2024,Sổ hồng lâu dài,Cơ bản,5.08,66.0,11.8,Ô tô riêng,Không,Có,Có,Gần trường quốc tế,2026-01-09,Dữ liệu tổng hợp mô phỏng
HCM0344,TP.HCM,Quận 4,Phường 2,Vinhomes Pearl,Chung cư,Chuyển nhượng,55.8,1,1,Tây Nam,16,2026,Đang chờ sổ,Full nội thất,5.46,97.8,23.7,Ô tô + xe máy,Không,Có,Có,Gần tuyến metro,2025-12-19,Dữ liệu tổng hợp mô phỏng
HCM0345,TP.HCM,Bình Thạnh,Phường 14,Saigon Pearl,Chung cư,Đang bán,84.7,2,2,Đông,19,2026,Sổ hồng lâu dài,Nhà thô,7.92,93.5,14.9,Không rõ,Không,Không,Có,Gần trường quốc tế,2025-11-22,Dữ liệu tổng hợp mô phỏng
HCM0346,TP.HCM,Bình Thạnh,Phường 13,Saigon Pearl,Chung cư,Đang bán,111.7,3,3,Đông,26,2019,Sổ hồng lâu dài,Full nội thất,11.23,100.5,22.8,Xe máy,Không,Có,Không,View sông thoáng,2026-03-30,Dữ liệu tổng hợp mô phỏng
HCM0347,TP.HCM,Thủ Đức,Trường Thọ,Fiato Premier,Chung cư,Đang bán,42.7,1,1,Đông Bắc,8,2013,Sổ hồng lâu dài,Cơ bản,3.16,74.2,10.6,Ô tô riêng,Không,Có,Có,Gần trường quốc tế,2026-02-25,Dữ liệu tổng hợp mô phỏng
HCM0348,TP.HCM,Bình Tân,Tân Tạo,Vinhomes Garden,Chung cư,Chuyển nhượng,121.9,3,2,Đông Bắc,14,2012,Sổ hồng lâu dài,Nội thất cao cấp,6.58,54.0,22.1,Không rõ,Có,Không,Có,Đầy đủ tiện ích,2025-10-12,Dữ liệu tổng hợp mô phỏng
HCM0349,TP.HCM,Quận 2,An Phú,Lumiere Riverside,Chung cư,Đang bán,121.9,3,3,Đông Bắc,40,2016,Sổ hồng lâu dài,Nội thất cao cấp,15.67,128.6,9.8,Ô tô + xe máy,Có,Có,Có,View nội khu yên tĩnh,2026-01-09,Dữ liệu tổng hợp mô phỏng
HCM0350,TP.HCM,Thủ Đức,An Lợi Đông,Richmond Residence,Chung cư,Chuyển nhượng,117.3,3,2,Đông Nam,3,2018,Sổ hồng lâu dài,Cơ bản,7.94,67.6,21.0,Ô tô + xe máy,Không,Có,Có,Gần trường quốc tế,2026-04-01,Dữ liệu tổng hợp mô phỏng
HCM0351,TP.HCM,Quận 1,Đa Kao,Madison,Chung cư,Cần bán gấp,82.3,2,2,Đông,17,2022,Sổ hồng lâu dài,Nhà thô,16.33,198.4,12.4,Ô tô + xe máy,Không,Có,Có,View sông thoáng,2026-04-01,Dữ liệu tổng hợp mô phỏng
HCM0352,TP.HCM,Thủ Đức,Linh Đông,Opal Riverside,Chung cư,Đang bán,83.3,2,2,Đông Nam,38,2012,Sổ hồng lâu dài,Nhà thô,5.9,70.8,24.1,Không rõ,Không,Có,Có,Gần trung tâm thương mại,2025-10-22,Dữ liệu tổng hợp mô phỏng
HCM0353,TP.HCM,Phú Nhuận,Phường 9,Sunwah City,Chung cư,Đang bán,80.9,3,3,Tây,34,2019,Sổ hồng lâu dài,Full nội thất,8.37,103.5,19.4,Ô tô riêng,Có,Có,Có,Căn góc,2026-03-07,Dữ liệu tổng hợp mô phỏng
HCM0354,TP.HCM,Bình Thạnh,Phường 26,Sunwah Pearl,Chung cư,Cho thuê mua,56.8,2,2,Đông,14,2022,Sổ hồng lâu dài,Nội thất cao cấp,6.14,108.0,9.3,Xe máy,Có,Có,Không,Đầy đủ tiện ích,2025-10-18,Dữ liệu tổng hợp mô phỏng
HCM0355,TP.HCM,Thủ Đức,Trường Thọ,Moonlight Avenue,Chung cư,Cần bán gấp,67.4,2,2,Tây Bắc,19,2015,Sổ hồng lâu dài,Cơ bản,4.17,61.9,16.0,Ô tô riêng,Không,Có,Không,Ban công rộng,2025-12-14,Dữ liệu tổng hợp mô phỏng
HCM0356,TP.HCM,Quận 7,Bình Thuận,The Peak Midtown,Chung cư,Đang bán,83.9,3,3,Tây Bắc,22,2014,Đang chờ sổ,Cơ bản,6.54,77.9,22.5,Ô tô + xe máy,Có,Có,Có,Ban công rộng,2025-11-27,Dữ liệu tổng hợp mô phỏng
HCM0357,TP.HCM,Bình Tân,Bình Trị Đông B,Sunwah Garden,Chung cư,Cần bán gấp,85.7,3,3,Đông Bắc,10,2013,Sổ hồng lâu dài,Nhà thô,4.51,52.7,8.1,Ô tô + xe máy,Không,Có,Có,Tầng trung đẹp,2025-10-22,Dữ liệu tổng hợp mô phỏng
HCM0358,TP.HCM,Gò Vấp,Phường 10,Jamona Heights,Chung cư,Đang bán,103.5,3,3,Nam,3,2022,Sổ hồng lâu dài,Cơ bản,5.82,56.2,17.6,Ô tô + xe máy,Không,Không,Không,Tầng trung đẹp,2025-12-12,Dữ liệu tổng hợp mô phỏng
HCM0359,TP.HCM,Thủ Đức,An Khánh,Vinhomes Grand Park,Chung cư,Đang bán,70.5,2,2,Đông Nam,6,2024,Sổ hồng lâu dài,Nhà thô,5.57,79.0,18.9,Ô tô + xe máy,Không,Có,Không,Gần tuyến metro,2025-11-12,Dữ liệu tổng hợp mô phỏng
HCM0360,TP.HCM,Quận 7,Phú Mỹ,The Peak Midtown,Chung cư,Đang bán,109.6,3,2,Đông Nam,13,2023,Sổ hồng lâu dài,Cơ bản,8.88,81.0,17.7,Xe máy,Không,Có,Có,Gần trường quốc tế,2026-03-25,Dữ liệu tổng hợp mô phỏng
HCM0361,TP.HCM,Bình Thạnh,Phường 26,Jamona Riverside,Chung cư,Chuyển nhượng,112.9,3,2,Bắc,7,2018,HĐMB,Cơ bản,13.93,123.3,20.1,Xe máy,Không,Có,Có,View nội khu yên tĩnh,2026-01-29,Dữ liệu tổng hợp mô phỏng
HCM0362,TP.HCM,Gò Vấp,Phường 3,Vinhomes Park,Chung cư,Đang bán,102.4,3,2,Bắc,9,2015,Đang chờ sổ,Nhà thô,5.89,57.5,17.1,Ô tô + xe máy,Không,Có,Có,View nội khu yên tĩnh,2025-10-17,Dữ liệu tổng hợp mô phỏng
HCM0363,TP.HCM,Bình Tân,Bình Hưng Hòa B,Saigon Royal Tower,Chung cư,Cho thuê mua,65.7,2,2,Đông,40,2013,HĐMB,Cơ bản,3.08,46.9,25.8,Ô tô + xe máy,Không,Không,Không,View sông thoáng,2025-12-10,Dữ liệu tổng hợp mô phỏng
HCM0364,TP.HCM,Gò Vấp,Phường 3,Masteri Tower,Chung cư,Đang bán,83.7,2,2,Tây Bắc,16,2013,Sổ hồng lâu dài,Nội thất cao cấp,5.65,67.5,17.7,Ô tô + xe máy,Không,Có,Có,View sông thoáng,2026-02-17,Dữ liệu tổng hợp mô phỏng
HCM0365,TP.HCM,Quận 1,Bến Nghé,Grand Marina Saigon,Chung cư,Cần bán gấp,71.7,2,2,Đông Nam,26,2025,Sổ hồng lâu dài,Full nội thất,15.93,222.1,15.1,Ô tô + xe máy,Không,Không,Có,View nội khu yên tĩnh,2026-01-22,Dữ liệu tổng hợp mô phỏng
HCM0366,TP.HCM,Thủ Đức,Linh Đông,Vinhomes Grand Park,Chung cư,Chuyển nhượng,159.2,4,2,Đông Nam,22,2021,Sổ hồng lâu dài,Cơ bản,13.47,84.6,18.9,Ô tô + xe máy,Có,Không,Có,Đầy đủ tiện ích,2026-03-10,Dữ liệu tổng hợp mô phỏng
HCM0367,TP.HCM,Quận 4,Phường 13,Richmond Riverside,Chung cư,Chuyển nhượng,121.4,3,3,Bắc,38,2023,Sổ hồng lâu dài,Nội thất cao cấp,10.17,83.8,8.7,Xe máy,Không,Có,Có,View sông thoáng,2025-11-01,Dữ liệu tổng hợp mô phỏng
HCM0368,TP.HCM,Tân Bình,Phường 2,Botanica Luxury,Chung cư,Đang bán,105.7,3,3,Bắc,19,2015,Sổ hồng lâu dài,Full nội thất,6.56,62.1,25.4,Không rõ,Không,Không,Có,Ban công rộng,2025-10-21,Dữ liệu tổng hợp mô phỏng
HCM0369,TP.HCM,Quận 4,Phường 6,Saigon Royal Heights,Chung cư,Cần bán gấp,214.9,4,2,Đông Bắc,18,2013,Sổ hồng lâu dài,Cơ bản,19.24,89.5,14.7,Xe máy,Có,Có,Có,Tầng trung đẹp,2025-10-19,Dữ liệu tổng hợp mô phỏng
HCM0370,TP.HCM,Tân Bình,Phường 15,Botanica Premier,Chung cư,Chuyển nhượng,81.8,2,2,Tây Nam,20,2023,Sổ hồng 50 năm,Cơ bản,6.96,85.1,12.3,Ô tô + xe máy,Có,Không,Có,Tầng trung đẹp,2025-12-02,Dữ liệu tổng hợp mô phỏng
HCM0371,TP.HCM,Quận 4,Phường 6,Sunwah Park,Chung cư,Đang bán,41.5,1,1,Đông Bắc,21,2017,Sổ hồng lâu dài,Nội thất cao cấp,3.64,87.7,19.1,Không rõ,Không,Không,Có,Đầy đủ tiện ích,2025-11-08,Dữ liệu tổng hợp mô phỏng
HCM0372,TP.HCM,Phú Nhuận,Phường 15,Saigon Royal Vista,Chung cư,Cần bán gấp,68.4,2,2,Bắc,10,2025,Sổ hồng lâu dài,Full nội thất,6.07,88.7,22.0,Xe máy,Có,Có,Có,Căn góc,2026-03-27,Dữ liệu tổng hợp mô phỏng
HCM0373,TP.HCM,Quận 4,Phường 2,Kingdom Park,Chung cư,Chuyển nhượng,201.7,4,3,Nam,23,2026,Sổ hồng lâu dài,Nhà thô,16.7,82.8,12.1,Không rõ,Không,Có,Có,View sông thoáng,2025-12-04,Dữ liệu tổng hợp mô phỏng
HCM0374,TP.HCM,Quận 2,Thảo Điền,Masteri Thảo Điền,Chung cư,Cần bán gấp,52.6,1,1,Nam,31,2013,HĐMB,Cơ bản,7.17,136.3,11.2,Ô tô riêng,Không,Có,Có,Gần công viên,2026-03-28,Dữ liệu tổng hợp mô phỏng
HCM0375,TP.HCM,Gò Vấp,Phường 1,Vinhomes Vista,Chung cư,Chuyển nhượng,98.5,3,3,Đông Bắc,12,2015,Sổ hồng lâu dài,Cơ bản,6.58,66.8,20.3,Ô tô + xe máy,Có,Có,Có,View nội khu yên tĩnh,2025-10-26,Dữ liệu tổng hợp mô phỏng
HCM0376,TP.HCM,Gò Vấp,Phường 7,Richmond Residence,Chung cư,Đang bán,82.8,3,3,Đông Nam,23,2022,Sổ hồng 50 năm,Cơ bản,6.14,74.1,20.3,Xe máy,Có,Có,Có,Gần trung tâm thương mại,2026-03-10,Dữ liệu tổng hợp mô phỏng
HCM0377,TP.HCM,Quận 4,Phường 1,Akari Riverside,Chung cư,Cần bán gấp,89.8,3,3,Tây Bắc,36,2024,Sổ hồng lâu dài,Full nội thất,9.71,108.1,19.2,Ô tô + xe máy,Có,Không,Có,View nội khu yên tĩnh,2025-11-07,Dữ liệu tổng hợp mô phỏng
HCM0378,TP.HCM,Tân Bình,Phường 12,Republic Plaza,Chung cư,Cần bán gấp,45.5,1,1,Đông Bắc,42,2017,Sổ hồng lâu dài,Full nội thất,3.7,81.4,20.5,Ô tô riêng,Có,Có,Không,Tầng trung đẹp,2025-11-05,Dữ liệu tổng hợp mô phỏng
HCM0379,TP.HCM,Gò Vấp,Phường 3,Sunwah Plaza,Chung cư,Đang bán,90.1,3,2,Tây Nam,30,2018,Sổ hồng lâu dài,Nội thất cao cấp,5.23,58.0,17.9,Ô tô + xe máy,Không,Có,Có,View sông thoáng,2025-12-01,Dữ liệu tổng hợp mô phỏng
HCM0380,TP.HCM,Quận 1,Bến Nghé,Grand Marina Saigon,Chung cư,Cần bán gấp,59.7,2,2,Tây Nam,9,2017,Sổ hồng lâu dài,Nội thất cao cấp,11.71,196.3,20.2,Xe máy,Có,Có,Không,Đầy đủ tiện ích,2026-02-01,Dữ liệu tổng hợp mô phỏng
HCM0381,TP.HCM,Bình Thạnh,Phường 26,Richmond City,Chung cư,Cần bán gấp,62.9,2,2,Nam,12,2015,Sổ hồng 50 năm,Full nội thất,7.78,123.7,10.9,Xe máy,Có,Có,Có,Căn góc,2026-03-01,Dữ liệu tổng hợp mô phỏng
HCM0382,TP.HCM,Thủ Đức,An Lợi Đông,Masteri Premier,Chung cư,Cần bán gấp,57.2,1,1,Đông,28,2012,Sổ hồng lâu dài,Cơ bản,4.63,81.0,24.2,Ô tô + xe máy,Không,Không,Có,Gần trung tâm thương mại,2026-03-23,Dữ liệu tổng hợp mô phỏng
HCM0383,TP.HCM,Quận 7,Tân Quy,Sunrise City,Chung cư,Đang bán,79.8,2,2,Đông Nam,3,2019,Sổ hồng lâu dài,Cơ bản,6.73,84.3,10.2,Xe máy,Có,Không,Có,Đầy đủ tiện ích,2026-02-24,Dữ liệu tổng hợp mô phỏng
HCM0384,TP.HCM,Thủ Đức,An Lợi Đông,Moonlight Avenue,Chung cư,Cho thuê mua,76.6,2,2,Đông Bắc,26,2018,Sổ hồng lâu dài,Cơ bản,5.98,78.1,18.2,Ô tô riêng,Không,Có,Có,Đầy đủ tiện ích,2026-01-31,Dữ liệu tổng hợp mô phỏng
HCM0385,TP.HCM,Quận 7,Phú Mỹ,Scenic Valley,Chung cư,Đang bán,56.7,1,1,Đông,8,2021,Sổ hồng lâu dài,Cơ bản,4.92,86.8,14.4,Ô tô + xe máy,Có,Có,Có,Căn góc,2026-02-25,Dữ liệu tổng hợp mô phỏng
HCM0386,TP.HCM,Quận 1,Nguyễn Thái Bình,The MarQ,Chung cư,Cho thuê mua,52.6,1,1,Tây Nam,8,2014,Sổ hồng lâu dài,Nội thất cao cấp,9.27,176.3,15.3,Ô tô + xe máy,Không,Có,Có,Gần tuyến metro,2025-12-09,Dữ liệu tổng hợp mô phỏng
HCM0387,TP.HCM,Bình Thạnh,Phường 13,Akari Vista,Chung cư,Cho thuê mua,78.9,2,2,Đông Nam,14,2014,Sổ hồng lâu dài,Cơ bản,7.42,94.0,18.4,Ô tô + xe máy,Không,Có,Có,Gần trung tâm thương mại,2025-10-28,Dữ liệu tổng hợp mô phỏng
HCM0388,TP.HCM,Quận 4,Phường 1,Sunrise Heights,Chung cư,Chuyển nhượng,66.5,2,2,Tây Nam,22,2015,HĐMB,Cơ bản,4.85,72.9,14.0,Ô tô + xe máy,Có,Có,Có,Ban công rộng,2026-04-03,Dữ liệu tổng hợp mô phỏng
HCM0389,TP.HCM,Quận 7,Phú Mỹ,Sunshine Diamond River,Chung cư,Đang bán,68.7,2,2,Đông Nam,21,2019,Sổ hồng lâu dài,Nội thất cao cấp,4.73,68.8,16.4,Ô tô + xe máy,Không,Không,Có,Căn góc,2025-11-14,Dữ liệu tổng hợp mô phỏng
HCM0390,TP.HCM,Gò Vấp,Phường 1,Richmond Grand,Chung cư,Cần bán gấp,61.0,2,2,Nam,25,2018,Sổ hồng lâu dài,Cơ bản,3.34,54.6,14.4,Xe máy,Có,Có,Có,Căn góc,2025-11-16,Dữ liệu tổng hợp mô phỏng
HCM0391,TP.HCM,Bình Tân,Bình Hưng Hòa B,Saigon Royal Plaza,Chung cư,Đang bán,55.7,1,1,Tây,39,2022,Sổ hồng lâu dài,Cơ bản,2.94,52.9,8.1,Ô tô + xe máy,Có,Có,Có,Gần trung tâm thương mại,2025-12-21,Dữ liệu tổng hợp mô phỏng
HCM0392,TP.HCM,Gò Vấp,Phường 10,Jamona City,Chung cư,Cần bán gấp,70.7,2,2,Tây,38,2025,Sổ hồng lâu dài,Cơ bản,4.63,65.5,13.4,Ô tô + xe máy,Có,Không,Không,Gần trung tâm thương mại,2026-01-21,Dữ liệu tổng hợp mô phỏng
HCM0393,TP.HCM,Tân Bình,Phường 12,Botanica Luxury,Chung cư,Cần bán gấp,66.9,2,2,Nam,41,2021,Sổ hồng 50 năm,Full nội thất,4.81,72.0,18.4,Ô tô + xe máy,Không,Có,Có,View nội khu yên tĩnh,2025-11-26,Dữ liệu tổng hợp mô phỏng
HCM0394,TP.HCM,Quận 2,Thảo Điền,Celadon Heights,Chung cư,Đang bán,70.0,2,2,Nam,11,2021,Sổ hồng lâu dài,Nhà thô,9.98,142.5,19.6,Ô tô riêng,Không,Không,Có,Gần trường quốc tế,2026-03-14,Dữ liệu tổng hợp mô phỏng
